park,year,month,month_number,visitors,total
Saguaro,1997,NOV,11,50285,739410
Saguaro,1997,DEC,12,47291,739410
Yellowstone,1997,JAN,1,31155,2889513
Yellowstone,1997,FEB,2,42392,2889513
Yellowstone,1997,MAR,3,19324,2889513
Yellowstone,1997,APR,4,21526,2889513
Yellowstone,1997,MAY,5,191985,2889513
Yellowstone,1997,JUN,6,512895,2889513
Yellowstone,1997,JUL,7,774327,2889513
Yellowstone,1997,AUG,8,737973,2889513
Yellowstone,1997,SEP,9,403184,2889513
Yellowstone,1997,OCT,10,120266,2889513
Yellowstone,1997,NOV,11,9983,2889513
Yellowstone,1997,DEC,12,24503,2889513
Zion,1997,JAN,1,65244,2445534
Zion,1997,FEB,2,68431,2445534
Zion,1997,MAR,3,128143,2445534
Zion,1997,APR,4,230390,2445534
Zion,1997,MAY,5,226370,2445534
Zion,1997,JUN,6,326154,2445534
Zion,1997,JUL,7,333883,2445534
Zion,1997,AUG,8,367010,2445534
Zion,1997,SEP,9,304847,2445534
Zion,1997,OCT,10,230274,2445534
Zion,1997,NOV,11,104605,2445534
Zion,1997,DEC,12,60183,2445534
Grand Canyon,1998,JAN,1,133187,4239682
Grand Canyon,1998,FEB,2,135141,4239682
Grand Canyon,1998,MAR,3,248949,4239682
Grand Canyon,1998,APR,4,401811,4239682
Grand Canyon,1998,MAY,5,444044,4239682
Grand Canyon,1998,JUN,6,532945,4239682
Grand Canyon,1998,JUL,7,586676,4239682
Grand Canyon,1998,AUG,8,600640,4239682
Grand Canyon,1998,SEP,9,421853,4239682
Grand Canyon,1998,OCT,10,375993,4239682
Grand Canyon,1998,NOV,11,209611,4239682
Grand Canyon,1998,DEC,12,148832,4239682
Saguaro,1998,JAN,1,69904,716160
Saguaro,1998,FEB,2,78613,716160
Saguaro,1998,MAR,3,95458,716160
Saguaro,1998,APR,4,94633,716160
Saguaro,1998,MAY,5,59742,716160
Saguaro,1998,JUN,6,45231,716160
Saguaro,1998,JUL,7,39013,716160
Saguaro,1998,AUG,8,41516,716160
Saguaro,1998,SEP,9,39808,716160
Saguaro,1998,OCT,10,57247,716160
Saguaro,1998,NOV,11,61444,716160
Saguaro,1998,DEC,12,33551,716160
Yellowstone,1998,JAN,1,33845,3120830
Yellowstone,1998,FEB,2,43032,3120830
Yellowstone,1998,MAR,3,17894,3120830
Yellowstone,1998,APR,4,29689,3120830
Yellowstone,1998,MAY,5,222385,3120830
Yellowstone,1998,JUN,6,549396,3120830
Yellowstone,1998,JUL,7,829683,3120830
Yellowstone,1998,AUG,8,764238,3120830
Yellowstone,1998,SEP,9,445741,3120830
Yellowstone,1998,OCT,10,150079,3120830
Yellowstone,1998,NOV,11,9106,3120830
Yellowstone,1998,DEC,12,25742,3120830
Zion,1998,JAN,1,70167,2370048
Zion,1998,FEB,2,62429,2370048
Zion,1998,MAR,3,112119,2370048
Zion,1998,APR,4,201553,2370048
Zion,1998,MAY,5,230959,2370048
Zion,1998,JUN,6,325129,2370048
Zion,1998,JUL,7,318876,2370048
Zion,1998,AUG,8,359490,2370048
Zion,1998,SEP,9,284343,2370048
Zion,1998,OCT,10,229844,2370048
Zion,1998,NOV,11,112117,2370048
Zion,1998,DEC,12,63022,2370048
Grand Canyon,1999,JAN,1,154225,4575124
Grand Canyon,1999,FEB,2,168127,4575124
Grand Canyon,1999,MAR,3,367827,4575124
Grand Canyon,1999,APR,4,345769,4575124
Grand Canyon,1999,MAY,5,456674,4575124
Grand Canyon,1999,JUN,6,564036,4575124
Grand Canyon,1999,JUL,7,655350,4575124
Grand Canyon,1999,AUG,8,608486,4575124
Grand Canyon,1999,SEP,9,491822,4575124
Grand Canyon,1999,OCT,10,378777,4575124
Grand Canyon,1999,NOV,11,206084,4575124
Grand Canyon,1999,DEC,12,177947,4575124
Saguaro,1999,JAN,1,73919,749014
Saguaro,1999,FEB,2,75212,749014
Saguaro,1999,MAR,3,117488,749014
Saguaro,1999,APR,4,64570,749014
Saguaro,1999,MAY,5,60409,749014
Saguaro,1999,JUN,6,49021,749014
Saguaro,1999,JUL,7,45681,749014
Saguaro,1999,AUG,8,43119,749014
Saguaro,1999,SEP,9,41091,749014
Saguaro,1999,OCT,10,55548,749014
Saguaro,1999,NOV,11,53353,749014
Saguaro,1999,DEC,12,69603,749014
Yellowstone,1999,JAN,1,34346,3131381
Yellowstone,1999,FEB,2,41120,3131381
Yellowstone,1999,MAR,3,23067,3131381
Yellowstone,1999,APR,4,27128,3131381
Yellowstone,1999,MAY,5,203727,3131381
Yellowstone,1999,JUN,6,580624,3131381
Yellowstone,1999,JUL,7,832685,3131381
Yellowstone,1999,AUG,8,760062,3131381
Yellowstone,1999,SEP,9,445057,3131381
Yellowstone,1999,OCT,10,142049,3131381
Yellowstone,1999,NOV,11,16230,3131381
Yellowstone,1999,DEC,12,25286,3131381
Zion,1999,JAN,1,73220,2449664
Zion,1999,FEB,2,69337,2449664
Zion,1999,MAR,3,122668,2449664
Zion,1999,APR,4,218059,2449664
Zion,1999,MAY,5,218639,2449664
Zion,1999,JUN,6,298448,2449664
Zion,1999,JUL,7,335012,2449664
Zion,1999,AUG,8,373744,2449664
Zion,1999,SEP,9,309215,2449664
Zion,1999,OCT,10,237279,2449664
Zion,1999,NOV,11,124086,2449664
Zion,1999,DEC,12,69957,2449664
Grand Canyon,2000,JAN,1,153667,4460228
Grand Canyon,2000,FEB,2,159129,4460228
Grand Canyon,2000,MAR,3,310278,4460228
Grand Canyon,2000,APR,4,392888,4460228
Grand Canyon,2000,MAY,5,459685,4460228
Grand Canyon,2000,JUN,6,528779,4460228
Grand Canyon,2000,JUL,7,624033,4460228
Grand Canyon,2000,AUG,8,590701,4460228
Grand Canyon,2000,SEP,9,474295,4460228
Grand Canyon,2000,OCT,10,368560,4460228
Grand Canyon,2000,NOV,11,205567,4460228
Grand Canyon,2000,DEC,12,192646,4460228
Saguaro,2000,JAN,1,75600,765195
Saguaro,2000,FEB,2,109956,765195
Saguaro,2000,MAR,3,103194,765195
Saguaro,2000,APR,4,78022,765195
Saguaro,2000,MAY,5,45792,765195
Saguaro,2000,JUN,6,50792,765195
Saguaro,2000,JUL,7,42136,765195
Saguaro,2000,AUG,8,37172,765195
Saguaro,2000,SEP,9,36249,765195
Saguaro,2000,OCT,10,47194,765195
Saguaro,2000,NOV,11,80493,765195
Saguaro,2000,DEC,12,58595,765195
Yellowstone,2000,JAN,1,37301,2838233
Yellowstone,2000,FEB,2,47573,2838233
Yellowstone,2000,MAR,3,20404,2838233
Yellowstone,2000,APR,4,27869,2838233
Yellowstone,2000,MAY,5,214814,2838233
Yellowstone,2000,JUN,6,553892,2838233
Yellowstone,2000,JUL,7,768040,2838233
Yellowstone,2000,AUG,8,634104,2838233
Yellowstone,2000,SEP,9,353728,2838233
Yellowstone,2000,OCT,10,139784,2838233
Yellowstone,2000,NOV,11,13422,2838233
Yellowstone,2000,DEC,12,27302,2838233
Zion,2000,JAN,1,80141,2432348
Zion,2000,FEB,2,73390,2432348
Zion,2000,MAR,3,126843,2432348
Zion,2000,APR,4,220905,2432348
Zion,2000,MAY,5,239579,2432348
Zion,2000,JUN,6,341054,2432348
Zion,2000,JUL,7,341050,2432348
Zion,2000,AUG,8,331474,2432348
Zion,2000,SEP,9,289827,2432348
Zion,2000,OCT,10,232685,2432348
Zion,2000,NOV,11,105733,2432348
Zion,2000,DEC,12,49667,2432348
Grand Canyon,2001,JAN,1,152246,4104809
Grand Canyon,2001,FEB,2,133442,4104809
Grand Canyon,2001,MAR,3,304407,4104809
Grand Canyon,2001,APR,4,363932,4104809
Grand Canyon,2001,MAY,5,446090,4104809
Grand Canyon,2001,JUN,6,517870,4104809
Grand Canyon,2001,JUL,7,620638,4104809
Grand Canyon,2001,AUG,8,565883,4104809
Grand Canyon,2001,SEP,9,348445,4104809
Grand Canyon,2001,OCT,10,287259,4104809
Grand Canyon,2001,NOV,11,192539,4104809
Grand Canyon,2001,DEC,12,172058,4104809
Saguaro,2001,JAN,1,69639,725874
Saguaro,2001,FEB,2,89031,725874
Saguaro,2001,MAR,3,114921,725874
Saguaro,2001,APR,4,90538,725874
Saguaro,2001,MAY,5,50322,725874
Saguaro,2001,JUN,6,39500,725874
Saguaro,2001,JUL,7,43414,725874
Saguaro,2001,AUG,8,39233,725874
Saguaro,2001,SEP,9,32738,725874
Saguaro,2001,OCT,10,39415,725874
Saguaro,2001,NOV,11,59725,725874
Saguaro,2001,DEC,12,57398,725874
Yellowstone,2001,JAN,1,44356,2758526
Yellowstone,2001,FEB,2,48980,2758526
Yellowstone,2001,MAR,3,18485,2758526
Yellowstone,2001,APR,4,28341,2758526
Yellowstone,2001,MAY,5,229085,2758526
Yellowstone,2001,JUN,6,507737,2758526
Yellowstone,2001,JUL,7,724735,2758526
Yellowstone,2001,AUG,8,613965,2758526
Yellowstone,2001,SEP,9,373583,2758526
Yellowstone,2001,OCT,10,121958,2758526
Yellowstone,2001,NOV,11,19585,2758526
Yellowstone,2001,DEC,12,27716,2758526
Zion,2001,JAN,1,61795,2217779
Zion,2001,FEB,2,53960,2217779
Zion,2001,MAR,3,95231,2217779
Zion,2001,APR,4,207864,2217779
Zion,2001,MAY,5,210707,2217779
Zion,2001,JUN,6,323759,2217779
Zion,2001,JUL,7,321920,2217779
Zion,2001,AUG,8,344531,2217779
Zion,2001,SEP,9,261476,2217779
Zion,2001,OCT,10,179932,2217779
Zion,2001,NOV,11,105821,2217779
Zion,2001,DEC,12,50783,2217779
Grand Canyon,2002,JAN,1,141451,4001974
Grand Canyon,2002,FEB,2,147784,4001974
Grand Canyon,2002,MAR,3,295462,4001974
Grand Canyon,2002,APR,4,331852,4001974
Grand Canyon,2002,MAY,5,408987,4001974
Grand Canyon,2002,JUN,6,502154,4001974
Grand Canyon,2002,JUL,7,568408,4001974
Grand Canyon,2002,AUG,8,520331,4001974
Grand Canyon,2002,SEP,9,368543,4001974
Grand Canyon,2002,OCT,10,324351,4001974
Grand Canyon,2002,NOV,11,217586,4001974
Grand Canyon,2002,DEC,12,175065,4001974
Saguaro,2002,JAN,1,63112,615045
Saguaro,2002,FEB,2,67572,615045
Saguaro,2002,MAR,3,109323,615045
Saguaro,2002,APR,4,61472,615045
Saguaro,2002,MAY,5,41645,615045
Saguaro,2002,JUN,6,33564,615045
Saguaro,2002,JUL,7,37835,615045
Saguaro,2002,AUG,8,39101,615045
Saguaro,2002,SEP,9,32300,615045
Saguaro,2002,OCT,10,20982,615045
Saguaro,2002,NOV,11,49680,615045
Saguaro,2002,DEC,12,58459,615045
Yellowstone,2002,JAN,1,40465,2973677
Yellowstone,2002,FEB,2,52002,2973677
Yellowstone,2002,MAR,3,23305,2973677
Yellowstone,2002,APR,4,15904,2973677
Yellowstone,2002,MAY,5,228642,2973677
Yellowstone,2002,JUN,6,568144,2973677
Yellowstone,2002,JUL,7,794929,2973677
Yellowstone,2002,AUG,8,663266,2973677
Yellowstone,2002,SEP,9,413960,2973677
Yellowstone,2002,OCT,10,142702,2973677
Yellowstone,2002,NOV,11,11235,2973677
Yellowstone,2002,DEC,12,19123,2973677
Zion,2002,JAN,1,55866,2592545
Zion,2002,FEB,2,66575,2592545
Zion,2002,MAR,3,158518,2592545
Zion,2002,APR,4,279225,2592545
Zion,2002,MAY,5,301163,2592545
Zion,2002,JUN,6,329355,2592545
Zion,2002,JUL,7,347541,2592545
Zion,2002,AUG,8,322920,2592545
Zion,2002,SEP,9,312931,2592545
Zion,2002,OCT,10,229989,2592545
Zion,2002,NOV,11,112489,2592545
Zion,2002,DEC,12,75973,2592545
Grand Canyon,2003,JAN,1,156481,4124900
Grand Canyon,2003,FEB,2,148388,4124900
Grand Canyon,2003,MAR,3,274120,4124900
Grand Canyon,2003,APR,4,340245,4124900
Grand Canyon,2003,MAY,5,398371,4124900
Grand Canyon,2003,JUN,6,536251,4124900
Grand Canyon,2003,JUL,7,603109,4124900
Grand Canyon,2003,AUG,8,550855,4124900
Grand Canyon,2003,SEP,9,377719,4124900
Grand Canyon,2003,OCT,10,335317,4124900
Grand Canyon,2003,NOV,11,220124,4124900
Grand Canyon,2003,DEC,12,183920,4124900
Saguaro,2003,JAN,1,70135,643697
Saguaro,2003,FEB,2,72986,643697
Saguaro,2003,MAR,3,111760,643697
Saguaro,2003,APR,4,58639,643697
Saguaro,2003,MAY,5,52457,643697
Saguaro,2003,JUN,6,33228,643697
Saguaro,2003,JUL,7,38741,643697
Saguaro,2003,AUG,8,42007,643697
Saguaro,2003,SEP,9,28814,643697
Saguaro,2003,OCT,10,43747,643697
Saguaro,2003,NOV,11,44804,643697
Saguaro,2003,DEC,12,46379,643697
Yellowstone,2003,JAN,1,36387,3019375
Yellowstone,2003,FEB,2,39494,3019375
Yellowstone,2003,MAR,3,17718,3019375
Yellowstone,2003,APR,4,28877,3019375
Yellowstone,2003,MAY,5,206245,3019375
Yellowstone,2003,JUN,6,580919,3019375
Yellowstone,2003,JUL,7,809689,3019375
Yellowstone,2003,AUG,8,698753,3019375
Yellowstone,2003,SEP,9,404498,3019375
Yellowstone,2003,OCT,10,175877,3019375
Yellowstone,2003,NOV,11,7967,3019375
Yellowstone,2003,DEC,12,12951,3019375
Zion,2003,JAN,1,71233,2458792
Zion,2003,FEB,2,72781,2458792
Zion,2003,MAR,3,143284,2458792
Zion,2003,APR,4,244910,2458792
Zion,2003,MAY,5,304556,2458792
Zion,2003,JUN,6,308634,2458792
Zion,2003,JUL,7,294996,2458792
Zion,2003,AUG,8,312162,2458792
Zion,2003,SEP,9,280970,2458792
Zion,2003,OCT,10,229992,2458792
Zion,2003,NOV,11,119860,2458792
Zion,2003,DEC,12,75414,2458792
Grand Canyon,2004,JAN,1,150345,4326234
Grand Canyon,2004,FEB,2,148379,4326234
Grand Canyon,2004,MAR,3,313056,4326234
Grand Canyon,2004,APR,4,409645,4326234
Grand Canyon,2004,MAY,5,444078,4326234
Grand Canyon,2004,JUN,6,529486,4326234
Grand Canyon,2004,JUL,7,625584,4326234
Grand Canyon,2004,AUG,8,549643,4326234
Grand Canyon,2004,SEP,9,425037,4326234
Grand Canyon,2004,OCT,10,333874,4326234
Grand Canyon,2004,NOV,11,219953,4326234
Grand Canyon,2004,DEC,12,177154,4326234
Saguaro,2004,JAN,1,60749,651464
Saguaro,2004,FEB,2,85922,651464
Saguaro,2004,MAR,3,98564,651464
Saguaro,2004,APR,4,54559,651464
Saguaro,2004,MAY,5,49953,651464
Saguaro,2004,JUN,6,34763,651464
Saguaro,2004,JUL,7,42098,651464
Saguaro,2004,AUG,8,37625,651464
Saguaro,2004,SEP,9,34178,651464
Saguaro,2004,OCT,10,45479,651464
Saguaro,2004,NOV,11,53001,651464
Saguaro,2004,DEC,12,54573,651464
Yellowstone,2004,JAN,1,22817,2868317
Yellowstone,2004,FEB,2,30030,2868317
Yellowstone,2004,MAR,3,20187,2868317
Yellowstone,2004,APR,4,32434,2868317
Yellowstone,2004,MAY,5,216905,2868317
Yellowstone,2004,JUN,6,584925,2868317
Yellowstone,2004,JUL,7,732682,2868317
Yellowstone,2004,AUG,8,657869,2868317
Yellowstone,2004,SEP,9,406327,2868317
Yellowstone,2004,OCT,10,135605,2868317
Yellowstone,2004,NOV,11,13939,2868317
Yellowstone,2004,DEC,12,14597,2868317
Zion,2004,JAN,1,67913,2677342
Zion,2004,FEB,2,81970,2677342
Zion,2004,MAR,3,190919,2677342
Zion,2004,APR,4,297906,2677342
Zion,2004,MAY,5,295304,2677342
Zion,2004,JUN,6,326499,2677342
Zion,2004,JUL,7,337145,2677342
Zion,2004,AUG,8,338899,2677342
Zion,2004,SEP,9,323156,2677342
Zion,2004,OCT,10,227332,2677342
Zion,2004,NOV,11,113626,2677342
Zion,2004,DEC,12,76673,2677342
Grand Canyon,2005,JAN,1,132660,4401522
Grand Canyon,2005,FEB,2,151719,4401522
Grand Canyon,2005,MAR,3,356357,4401522
Grand Canyon,2005,APR,4,380473,4401522
Grand Canyon,2005,MAY,5,444253,4401522
Grand Canyon,2005,JUN,6,594410,4401522
Grand Canyon,2005,JUL,7,611813,4401522
Grand Canyon,2005,AUG,8,572431,4401522
Grand Canyon,2005,SEP,9,392835,4401522
Grand Canyon,2005,OCT,10,335518,4401522
Grand Canyon,2005,NOV,11,230597,4401522
Grand Canyon,2005,DEC,12,198456,4401522
Saguaro,2005,JAN,1,69802,727208
Saguaro,2005,FEB,2,83199,727208
Saguaro,2005,MAR,3,122738,727208
Saguaro,2005,APR,4,75455,727208
Saguaro,2005,MAY,5,50760,727208
Saguaro,2005,JUN,6,40169,727208
Saguaro,2005,JUL,7,38220,727208
Saguaro,2005,AUG,8,47620,727208
Saguaro,2005,SEP,9,34215,727208
Saguaro,2005,OCT,10,50482,727208
Saguaro,2005,NOV,11,54188,727208
Saguaro,2005,DEC,12,60360,727208
Yellowstone,2005,JAN,1,22297,2835651
Yellowstone,2005,FEB,2,29018,2835651
Yellowstone,2005,MAR,3,17324,2835651
Yellowstone,2005,APR,4,26116,2835651
Yellowstone,2005,MAY,5,225811,2835651
Yellowstone,2005,JUN,6,560014,2835651
Yellowstone,2005,JUL,7,743165,2835651
Yellowstone,2005,AUG,8,647288,2835651
Yellowstone,2005,SEP,9,393362,2835651
Yellowstone,2005,OCT,10,142912,2835651
Yellowstone,2005,NOV,11,11505,2835651
Yellowstone,2005,DEC,12,16839,2835651
Zion,2005,JAN,1,63566,2586665
Zion,2005,FEB,2,70260,2586665
Zion,2005,MAR,3,195530,2586665
Zion,2005,APR,4,230366,2586665
Zion,2005,MAY,5,283547,2586665
Zion,2005,JUN,6,339849,2586665
Zion,2005,JUL,7,347745,2586665
Zion,2005,AUG,8,340826,2586665
Zion,2005,SEP,9,298465,2586665
Zion,2005,OCT,10,227570,2586665
Zion,2005,NOV,11,118083,2586665
Zion,2005,DEC,12,70858,2586665
Grand Canyon,2006,JAN,1,163222,4279439
Grand Canyon,2006,FEB,2,178982,4279439
Grand Canyon,2006,MAR,3,296498,4279439
Grand Canyon,2006,APR,4,419253,4279439
Grand Canyon,2006,MAY,5,451576,4279439
Grand Canyon,2006,JUN,6,509456,4279439
Grand Canyon,2006,JUL,7,578208,4279439
Grand Canyon,2006,AUG,8,507951,4279439
Grand Canyon,2006,SEP,9,399117,4279439
Grand Canyon,2006,OCT,10,352556,4279439
Grand Canyon,2006,NOV,11,239306,4279439
Grand Canyon,2006,DEC,12,183314,4279439
Saguaro,2006,JAN,1,67957,619983
Saguaro,2006,FEB,2,80926,619983
Saguaro,2006,MAR,3,91782,619983
Saguaro,2006,APR,4,69239,619983
Saguaro,2006,MAY,5,43282,619983
Saguaro,2006,JUN,6,31219,619983
Saguaro,2006,JUL,7,34515,619983
Saguaro,2006,AUG,8,32592,619983
Saguaro,2006,SEP,9,27631,619983
Saguaro,2006,OCT,10,40939,619983
Saguaro,2006,NOV,11,42227,619983
Saguaro,2006,DEC,12,57674,619983
Yellowstone,2006,JAN,1,23989,2870295
Yellowstone,2006,FEB,2,29011,2870295
Yellowstone,2006,MAR,3,18879,2870295
Yellowstone,2006,APR,4,29381,2870295
Yellowstone,2006,MAY,5,230762,2870295
Yellowstone,2006,JUN,6,557213,2870295
Yellowstone,2006,JUL,7,738807,2870295
Yellowstone,2006,AUG,8,635666,2870295
Yellowstone,2006,SEP,9,428369,2870295
Yellowstone,2006,OCT,10,146790,2870295
Yellowstone,2006,NOV,11,12382,2870295
Yellowstone,2006,DEC,12,19046,2870295
Zion,2006,JAN,1,71680,2567350
Zion,2006,FEB,2,70170,2567350
Zion,2006,MAR,3,144186,2567350
Zion,2006,APR,4,264821,2567350
Zion,2006,MAY,5,277849,2567350
Zion,2006,JUN,6,325124,2567350
Zion,2006,JUL,7,347105,2567350
Zion,2006,AUG,8,337212,2567350
Zion,2006,SEP,9,298587,2567350
Zion,2006,OCT,10,235952,2567350
Zion,2006,NOV,11,128339,2567350
Zion,2006,DEC,12,66325,2567350
Grand Canyon,2007,JAN,1,139636,4413668
Grand Canyon,2007,FEB,2,155049,4413668
Grand Canyon,2007,MAR,3,332226,4413668
Grand Canyon,2007,APR,4,431874,4413668
Grand Canyon,2007,MAY,5,443773,4413668
Grand Canyon,2007,JUN,6,515106,4413668
Grand Canyon,2007,JUL,7,604185,4413668
Grand Canyon,2007,AUG,8,580670,4413668
Grand Canyon,2007,SEP,9,424493,4413668
Grand Canyon,2007,OCT,10,362602,4413668
Grand Canyon,2007,NOV,11,235217,4413668
Grand Canyon,2007,DEC,12,188837,4413668
Saguaro,2007,JAN,1,63711,658477
Saguaro,2007,FEB,2,75078,658477
Saguaro,2007,MAR,3,94263,658477
Saguaro,2007,APR,4,74777,658477
Saguaro,2007,MAY,5,45859,658477
Saguaro,2007,JUN,6,30128,658477
Saguaro,2007,JUL,7,37553,658477
Saguaro,2007,AUG,8,37745,658477
Saguaro,2007,SEP,9,39608,658477
Saguaro,2007,OCT,10,45484,658477
Saguaro,2007,NOV,11,49275,658477
Saguaro,2007,DEC,12,64996,658477
Yellowstone,2007,JAN,1,25476,3151343
Yellowstone,2007,FEB,2,30928,3151343
Yellowstone,2007,MAR,3,20225,3151343
Yellowstone,2007,APR,4,27798,3151343
Yellowstone,2007,MAY,5,264203,3151343
Yellowstone,2007,JUN,6,609606,3151343
Yellowstone,2007,JUL,7,822773,3151343
Yellowstone,2007,AUG,8,710781,3151343
Yellowstone,2007,SEP,9,463994,3151343
Yellowstone,2007,OCT,10,139789,3151343
Yellowstone,2007,NOV,11,15362,3151343
Yellowstone,2007,DEC,12,20408,3151343
Zion,2007,JAN,1,68640,2657281
Zion,2007,FEB,2,71530,2657281
Zion,2007,MAR,3,176622,2657281
Zion,2007,APR,4,286701,2657281
Zion,2007,MAY,5,281149,2657281
Zion,2007,JUN,6,333005,2657281
Zion,2007,JUL,7,338116,2657281
Zion,2007,AUG,8,337824,2657281
Zion,2007,SEP,9,314290,2657281
Zion,2007,OCT,10,253572,2657281
Zion,2007,NOV,11,129962,2657281
Zion,2007,DEC,12,65870,2657281
Grand Canyon,2008,JAN,1,123600,4425314
Grand Canyon,2008,FEB,2,146730,4425314
Grand Canyon,2008,MAR,3,358409,4425314
Grand Canyon,2008,APR,4,377542,4425314
Grand Canyon,2008,MAY,5,453651,4425314
Grand Canyon,2008,JUN,6,530291,4425314
Grand Canyon,2008,JUL,7,644915,4425314
Grand Canyon,2008,AUG,8,633985,4425314
Grand Canyon,2008,SEP,9,433030,4425314
Grand Canyon,2008,OCT,10,359396,4425314
Grand Canyon,2008,NOV,11,209843,4425314
Grand Canyon,2008,DEC,12,153922,4425314
Saguaro,2008,JAN,1,85391,699137
Saguaro,2008,FEB,2,81943,699137
Saguaro,2008,MAR,3,122037,699137
Saguaro,2008,APR,4,67583,699137
Saguaro,2008,MAY,5,47259,699137
Saguaro,2008,JUN,6,33241,699137
Saguaro,2008,JUL,7,38548,699137
Saguaro,2008,AUG,8,38285,699137
Saguaro,2008,SEP,9,30789,699137
Saguaro,2008,OCT,10,41221,699137
Saguaro,2008,NOV,11,48324,699137
Saguaro,2008,DEC,12,64516,699137
Yellowstone,2008,JAN,1,26864,3066580
Yellowstone,2008,FEB,2,33557,3066580
Yellowstone,2008,MAR,3,19147,3066580
Yellowstone,2008,APR,4,24433,3066580
Yellowstone,2008,MAY,5,217938,3066580
Yellowstone,2008,JUN,6,593405,3066580
Yellowstone,2008,JUL,7,808110,3066580
Yellowstone,2008,AUG,8,731063,3066580
Yellowstone,2008,SEP,9,437552,3066580
Yellowstone,2008,OCT,10,145488,3066580
Yellowstone,2008,NOV,11,12671,3066580
Yellowstone,2008,DEC,12,16352,3066580
Zion,2008,JAN,1,56137,2690154
Zion,2008,FEB,2,62044,2690154
Zion,2008,MAR,3,187814,2690154
Zion,2008,APR,4,242778,2690154
Zion,2008,MAY,5,302002,2690154
Zion,2008,JUN,6,354527,2690154
Zion,2008,JUL,7,360046,2690154
Zion,2008,AUG,8,368739,2690154
Zion,2008,SEP,9,312606,2690154
Zion,2008,OCT,10,254187,2690154
Zion,2008,NOV,11,126588,2690154
Zion,2008,DEC,12,62686,2690154
Grand Canyon,2009,JAN,1,135463,4348068
Grand Canyon,2009,FEB,2,132865,4348068
Grand Canyon,2009,MAR,3,310717,4348068
Grand Canyon,2009,APR,4,393469,4348068
Grand Canyon,2009,MAY,5,432940,4348068
Grand Canyon,2009,JUN,6,529833,4348068
Grand Canyon,2009,JUL,7,658993,4348068
Grand Canyon,2009,AUG,8,600442,4348068
Grand Canyon,2009,SEP,9,425737,4348068
Grand Canyon,2009,OCT,10,352207,4348068
Grand Canyon,2009,NOV,11,214355,4348068
Grand Canyon,2009,DEC,12,161047,4348068
Saguaro,2009,JAN,1,79316,665234
Saguaro,2009,FEB,2,79820,665234
Saguaro,2009,MAR,3,110768,665234
Saguaro,2009,APR,4,68006,665234
Saguaro,2009,MAY,5,44619,665234
Saguaro,2009,JUN,6,34837,665234
Saguaro,2009,JUL,7,36024,665234
Saguaro,2009,AUG,8,34077,665234
Saguaro,2009,SEP,9,32817,665234
Saguaro,2009,OCT,10,39052,665234
Saguaro,2009,NOV,11,50985,665234
Saguaro,2009,DEC,12,54913,665234
Yellowstone,2009,JAN,1,24770,3295187
Yellowstone,2009,FEB,2,28355,3295187
Yellowstone,2009,MAR,3,17317,3295187
Yellowstone,2009,APR,4,24831,3295187
Yellowstone,2009,MAY,5,261763,3295187
Yellowstone,2009,JUN,6,643844,3295187
Yellowstone,2009,JUL,7,900515,3295187
Yellowstone,2009,AUG,8,752983,3295187
Yellowstone,2009,SEP,9,489438,3295187
Yellowstone,2009,OCT,10,123867,3295187
Yellowstone,2009,NOV,11,9397,3295187
Yellowstone,2009,DEC,12,18107,3295187
Zion,2009,JAN,1,60204,2735402
Zion,2009,FEB,2,62964,2735402
Zion,2009,MAR,3,167246,2735402
Zion,2009,APR,4,271709,2735402
Zion,2009,MAY,5,296330,2735402
Zion,2009,JUN,6,366004,2735402
Zion,2009,JUL,7,368933,2735402
Zion,2009,AUG,8,372157,2735402
Zion,2009,SEP,9,306161,2735402
Zion,2009,OCT,10,265095,2735402
Zion,2009,NOV,11,132998,2735402
Zion,2009,DEC,12,65601,2735402
Grand Canyon,2010,JAN,1,120409,4388386
Grand Canyon,2010,FEB,2,124573,4388386
Grand Canyon,2010,MAR,3,312903,4388386
Grand Canyon,2010,APR,4,375136,4388386
Grand Canyon,2010,MAY,5,399037,4388386
Grand Canyon,2010,JUN,6,555941,4388386
Grand Canyon,2010,JUL,7,647636,4388386
Grand Canyon,2010,AUG,8,629167,4388386
Grand Canyon,2010,SEP,9,477863,4388386
Grand Canyon,2010,OCT,10,359758,4388386
Grand Canyon,2010,NOV,11,219474,4388386
Grand Canyon,2010,DEC,12,166489,4388386
Saguaro,2010,JAN,1,71191,717614
Saguaro,2010,FEB,2,73176,717614
Saguaro,2010,MAR,3,116329,717614
Saguaro,2010,APR,4,80796,717614
Saguaro,2010,MAY,5,55502,717614
Saguaro,2010,JUN,6,35360,717614
Saguaro,2010,JUL,7,36731,717614
Saguaro,2010,AUG,8,34563,717614
Saguaro,2010,SEP,9,35949,717614
Saguaro,2010,OCT,10,53198,717614
Saguaro,2010,NOV,11,72830,717614
Saguaro,2010,DEC,12,51989,717614
Yellowstone,2010,JAN,1,25595,3640185
Yellowstone,2010,FEB,2,29108,3640185
Yellowstone,2010,MAR,3,21028,3640185
Yellowstone,2010,APR,4,32763,3640185
Yellowstone,2010,MAY,5,250445,3640185
Yellowstone,2010,JUN,6,694841,3640185
Yellowstone,2010,JUL,7,957785,3640185
Yellowstone,2010,AUG,8,854837,3640185
Yellowstone,2010,SEP,9,550504,3640185
Yellowstone,2010,OCT,10,189072,3640185
Yellowstone,2010,NOV,11,16819,3640185
